"id_sample","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority"
"101","2.71","Elementary",8.42,1,"0.91666666666666663",NA,NA,0.416666666666667,NA
"101","1.83","Elementary",7.96,1,"0.95652173913043481",NA,NA,0.478260869565217,NA
"102","4, 5","Elementary",10,1,NA,0.88235294117647,0.117647058823529,0.529411764705882,0.941176470588235
"102","4, 5","Elementary",9.92105263157895,1,NA,0.894736842105263,0.31578947368421,0.473684210526316,0.973684210526316
"102","4, 5","Elementary",9.95945945945946,1,NA,0.918918918918919,0.351351351351351,0.45945945945946,0.972972972972973
"103","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125
"103","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125
"103","3, 4","Elementary",8.83898305084746,1,NA,0.6875,NA,0.491525423728814,0.9125
"104","7, 8, 9","Secondary",14.7375,1,"1",NA,0.3,0.75,0.75
"104","7, 8, 9","Secondary",14.7375,1,"1",NA,0.421052631578947,0.578947368421053,0.947368421052632
"104","7, 8, 9","Secondary",14.7375,1,"1",NA,0.45,0.7,0.95
"105","4, 5","Elementary",11.2,1,NA,0.85,0.636363636363636,0.454545454545455,0.88
"105","4, 5","Elementary",11.2,1,NA,0.85,0.636363636363636,0.454545454545455,0.88
"105","4, 5","Elementary",11.2,1,NA,0.85,0.636363636363636,0.454545454545455,0.88
"107","4, 5","Elementary",12,1,"1",NA,NA,0.653333333333333,0.1
"107","4, 5","Elementary",12,1,"1",NA,NA,0.653333333333333,0.1
"107","4, 5","Elementary",12,1,"1",NA,NA,0.653333333333333,0.1
"107","4, 5","Elementary",12,1,"1",NA,NA,0.653333333333333,0.1
"108","6","Secondary",11.5,1,"0.33116883116883117",0.67965367965368,NA,0.582251082251082,0.125541125541126
"108","6","Secondary",11.5,1,"0.26221079691516708",0.655526992287918,NA,0.57840616966581,0.143958868894602
"109_1","6","Secondary",11.5,1,"0.33223140495867765",0.690909090909091,NA,0.59504132231405,0.130578512396694
"109_1","6","Secondary",11.5,1,"0.28490566037735854",0.675471698113208,NA,0.583018867924528,0.139622641509434
"109_2","9","Secondary",14.5,1,"0.29679595278246207",0.625632377740304,NA,0.586846543001686,0.116357504215852
"109_2","9","Secondary",14.5,1,"0.23177570093457944",0.611214953271028,NA,0.551401869158878,0.132710280373832
"110","5","Elementary",9.57,1,NA,1,NA,0.526315789473684,NA
"110","5","Elementary",9.57,1,NA,1,NA,0.526315789473684,NA
"110","5","Elementary",9.57,1,NA,1,NA,0.526315789473684,NA
"111","5","Elementary",11,NA,NA,1,1,0,NA
"111","5","Elementary",11,NA,NA,1,1,0,NA
"112","3","Elementary",8.5,NA,NA,NA,NA,NA,0.1
"112","3","Elementary",8.5,NA,NA,NA,NA,NA,0.1
"113","4","Elementary",9.5,NA,NA,NA,NA,NA,0.32
"113","4","Elementary",9.5,NA,NA,NA,NA,NA,0.32
"113","4","Elementary",9.5,NA,NA,NA,NA,NA,0.32
"114","1","Elementary",7.5,0,"0",0,0,0.448275862068966,0
"114","1","Elementary",7.5,0,"0",0,0,0.344827586206897,0
"115","5","Elementary",10.5,0.2,"4.8543689320388349E-2",0,0.116504854368932,0.466019417475728,NA
"115","5","Elementary",10.5,0.2,"1.7699115044247787E-2",0,0.0176991150442478,0.433628318584071,NA
"117","3","Elementary",8.5,NA,NA,0.182432432432432,NA,0.47972972972973,0.243243243243243
"117","3","Elementary",8.5,NA,NA,0.220657276995305,NA,0.47887323943662,0.272300469483568
"118","3","Elementary",8.5,NA,"0.15760869565217392",NA,0.0205128205128205,0.56544502617801,0.477777777777778
"118","3","Elementary",8.5,NA,"0.10483870967741936",NA,0.0269230769230769,0.501945525291829,0.441295546558704
"118","3","Elementary",8.5,NA,"0.20338983050847459",NA,0,0.552631578947368,0.101694915254237
"119","3, 4","Elementary",10.02,1,NA,NA,NA,0.44,NA
"119","3, 4","Elementary",9.89,1,NA,NA,NA,0.36734693877551,NA
"119","3, 4","Elementary",9.98,1,NA,NA,NA,0.457627118644068,NA
