"id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity"
"142_1","142_1Tm","T","m","1","SUAT - poor readers","Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported"
"142_1","142_1Tm","T","m","2","SIAT - poor readers","Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported"
"142_1","142_1m",NA,"m","ctl","ST - poor readers","Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported"
"142_2","142_2Tm","T","m","1","SUAT - ave. readers","Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported"
"142_2","142_2Tm","T","m","2","SIAT - ave. readers","Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported"
"142_2","142_2m",NA,"m","ctl","ST - ave. readers","Yes (Including CAI)","small group (3–7 students)","Research Staff",540,9,60,"Not reported"
"143","143Nm","N","m","1","Stra + Att, Teacher1","No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported"
"143","143NGTm","NGT","m","2","Stra only, Teacher1","No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported"
"143","143bau",NA,NA,"ctl","Control, Teacher1","No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported"
"143","143Nm","N","m","1","Stra + Att, Teacher2","No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported"
"143","143GTm","GT","m","2","Stra only, Teacher2","No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported"
"143","143bau",NA,NA,"ctl","Control, Teacher2","No / Not reported","classroom/ large group","School Staff",1600,40,40,"Not reported"
"145","145NGm","NG","m","1","experimental REM","No / Not reported","classroom/ large group","Research Staff",2160,36,60,"Not reported"
"145","145bau",NA,NA,"ctl","control",NA,NA,NA,NA,NA,NA,NA
"146","146NVGTm","NVGT","m","1","Strat + CSR + MSR","Yes (Including CAI)","classroom/ large group","School Staff",900,20,45,"Reported"
"146","146NVm","NV","m","2","Strat + CSR","Yes (Including CAI)","classroom/ large group","School Staff",900,20,45,"Reported"
