"id_es","chr_authorname","id_study","chr_country","is_USA","chr_language","is_English","is_school_context","is_article","is_RCT","id_sample","id_condition","cat_M_type","cat_R_type","cat_condition_type","chr_condition_name","chr_grade","is_secondary","ave_age","pct_struggle_reader","pct_disability","pct_lowSES","pct_SLL","pct_boy","pct_minority","is_scripted","is_small_group","is_school_staff","num_dosage_total","num_dosage_session_num","num_dosage_session_length","is_fidelity","chr_measure_name","is_measure_std","m_pre","sd_pre","n_pre","m_post","sd_post","n_post","m_delayed","sd_delayed","n_delayed","num_month_of_delayed","r_pre_post","r_pre_delay"
192,"Schunk & Rice. (S2), 1987","132","USA","USA","English","English","School Environment","peer reviewed paper","RCT","132","132Vm","V","m","1","specific strategy value","4, 5","Elementary",11,1,NA,NA,NA,0.5,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported","comprehension skill test","NO - Not standardized",4.5,2,10,8.1,2.6,10,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132","132Tm","T","m","ctl","strategy effectiveness feedback","4, 5","Elementary",11,1,NA,NA,NA,0.5,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported","comprehension skill test","NO - Not standardized",5.9,2.3,10,7.7,3.1,10,NA,NA,NA,NA,NA,NA
194,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132","132VTm","VT","m","2","strategy value plus effectiveness feedback (combined)","4, 5","Elementary",11,1,NA,NA,NA,0.5,NA,"Yes (Including CAI)","small group (3–7 students)","Research Staff",525,15,35,"Reported","comprehension skill test","NO - Not standardized",5.5,1.5,10,13.5,2.3,10,NA,NA,NA,NA,NA,NA
195,"Orkin, 2013","133","USA","USA","English","English","After school Program","disseration","QED","133","133NGc","NG","c","1","CORI + RAVE-O + Wilson Reading Program","3","Elementary",8.16,1,"0.89",NA,NA,0.416666666666667,0.16,"Yes (Including CAI)","small group (3–7 students)","School Staff",2400,25,120,"Reported","Passage Comprehension (SRI)","YES - standardized",7.75,2.41,12,7.75,2.56,12,NA,NA,NA,NA,NA,NA
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,"133","133c",NA,"c","ctl","incentives + RAVE-O + Wilson Reading Program","3","Elementary",8.16,1,"0.89",NA,NA,0.416666666666667,0.16,"Yes (Including CAI)","small group (3–7 students)","School Staff",2400,25,120,"Reported","Passage Comprehension (SRI)","YES - standardized",8.25,2.41,12,8.5,2.28,12,NA,NA,NA,NA,NA,NA
199,"Hock et al., 2017","135","USA","USA","English","English","School Environment","peer reviewed paper","QED","135","135NVGcm","NVG","cm","1","Fusion (year 1)","6","Secondary",11.5,1,"1",0.55,NA,0.6,0.35,"Yes (Including CAI)","small group (3–7 students)","School Staff",9000,180,50,"Reported","Sentence Comprehension (SC)","YES - standardized",4.85,2.11,20,7.8,2.61,20,NA,NA,NA,NA,NA,NA
200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Comprehension (PCO)","YES - standardized",7.65,2.5,20,12,4.44,20,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"* MAP composite","YES - standardized",186.2,11.12,20,195.79,6.9,20,"201.17",7.17,20,12,NA,NA
202,NA,NA,NA,NA,NA,NA,NA,NA,NA,"135","135m",NA,"m","ctl","Comparison - Corrective Reading(year1)","6","Secondary",11.5,1,"1",0.55,NA,0.75,0.35,NA,"small group (3–7 students)","School Staff",NA,NA,NA,"Reported","Sentence Comprehension (SC)","YES - standardized",4.4,2.19,20,5.2,1.85,20,NA,NA,NA,NA,NA,NA
203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Passage Comprehension (PCO)","YES - standardized",8.5,3.02,20,7.8,4.7,20,NA,NA,NA,NA,NA,NA
