"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl","m_post_int","m_post_ctl","sd_post_int","sd_post_ctl","n_post_int","n_post_ctl","m_delayed_int","m_delayed_ctl","sd_delayed_int","sd_delayed_ctl","n_delayed_int","n_delayed_ctl","num_month_of_delayed_int","num_month_of_delayed_ctl"
"149","149NGm","1",281,"(3 week) 4. Oral retell information units","NO - Not standardized",3.56,1.67,16,"149Nm","ctl",297,4,2,16,4.8,3.6,1.7,2.41,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",282,"(3 week) 5. Oral retell main ideas","NO - Not standardized",2.06,1,16,"149Nm","ctl",298,2.44,0.96,16,2.27,1.53,1.1,1.36,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",283,"(3 week) 6. Written retell quality","NO - Not standardized",2.75,1,16,"149Nm","ctl",299,3,1.03,16,3.87,3.35,1.07,1.35,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",284,"(3 week) 7. Written retell information units","NO - Not standardized",2.69,2.06,16,"149Nm","ctl",300,4.06,2.08,16,3.96,3.35,1.7,1.61,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"149","149NGm","1",285,"(3 week) 8. Written retell main ideas","NO - Not standardized",1.81,1.22,16,"149Nm","ctl",301,2.07,1.12,16,2.78,2.59,1.4,1.36,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"150","150cm","1",303,"Posttest Unrelated","NO - Not standardized",NA,NA,NA,"150bau","ctl",302,NA,NA,NA,0.47,0.49,0.23,0.23,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"150","150Gcm","2",304,"Posttest Unrelated","NO - Not standardized",NA,NA,NA,"150bau","ctl",302,NA,NA,NA,0.5,0.49,0.27,0.23,24,27,NA,NA,NA,NA,NA,NA,NA,NA
"151","151NVGm","1",305,"Retell Quality","NO - Not standardized",1.5,1.1,9,"151Nm","ctl",309,1.6,1.2,9,2.9,4.2,1.4,1.3,9,9,NA,NA,NA,NA,NA,NA,NA,NA
"151","151NVGm","1",306,"Retell Main Idea","NO - Not standardized",0.5,0.4,9,"151Nm","ctl",310,0.6,0.6,9,0.9,1.4,0.5,0.4,9,9,NA,NA,NA,NA,NA,NA,NA,NA
"151","151NVGm","1",307,"Multiple Choice","NO - Not standardized",5.2,1.8,9,"151Nm","ctl",311,5.8,1.9,9,6.2,7.4,2.2,2.7,9,9,NA,NA,NA,NA,NA,NA,NA,NA
"151","151NVGm","1",308,"WJ Passage Comprehension","YES - standardized",79.2,7.5,9,"151Nm","ctl",312,70.3,17.4,9,78.7,75.6,8.7,14.5,9,9,NA,NA,NA,NA,NA,NA,NA,NA
"152","152Nm","1",313,"GMRT-4 Comprehension","YES - standardized",19.74,10.05,38,"152m","ctl",314,23.16,8,38,28.37,26.5,6.9,7.28,38,38,NA,NA,NA,NA,NA,NA,NA,NA
"153","153Nm","1",315,"GMRT-4 Comprehension","YES - standardized",17.78,8.27,23,"153m","ctl",316,18.61,7.02,23,28.09,22.61,7.35,6.45,23,23,NA,NA,NA,NA,NA,NA,NA,NA
